category,category_name,vendor_number,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail
1032080,IMPORTED VODKA,35,65109,Grey Goose VX,4,750,42.66,63.99
1012200,SCOTCH WHISKIES,35,4868,Dewars White Label Scotch,6,1750,26.75,40.13
1012200,SCOTCH WHISKIES,35,4868,Dewars White Label Scotch,6,1750,26.5,39.75
1012200,SCOTCH WHISKIES,35,4867,Dewars White Label Scotch,12,1000,17.5,26.25
1012200,SCOTCH WHISKIES,35,4868,Dewars White Label Scotch,6,1750,24.5,37.88
1012200,SCOTCH WHISKIES,35,4867,Dewars White Label Scotch,12,1000,16.87,25.31
1012200,SCOTCH WHISKIES,35,994872,Dewar's 15 Yr Old,6,750,20.75,31.13
1012200,SCOTCH WHISKIES,35,4866,Dewars White Label Scotch,12,750,13.73,20.6
1012200,SCOTCH WHISKIES,35,4866,Dewars White Label Scotch,12,750,13.5,20.25
1012200,SCOTCH WHISKIES,35,4876,Dewars 12yr,12,750,20.0,30.0
1012200,SCOTCH WHISKIES,35,64888,Dewars Highlander Honey,12,750,14.93,22.4
1012200,SCOTCH WHISKIES,35,4876,Dewars 12yr,12,750,17.0,27.0
1012200,SCOTCH WHISKIES,35,902365,Dewar's White Label Scotch Mini,10,603,11.95,17.93
1012200,SCOTCH WHISKIES,35,4864,Dewars White Label Scotch,24,375,7.0,10.5
1011100,BLENDED WHISKIES,35,4853,Dewar's White Label Scratched Cask,6,750,16.75,25.13
1042100,IMPORTED DRY GINS,35,28233,Bombay Sapphire Gin,12,1000,16.5,24.75
1042100,IMPORTED DRY GINS,35,28238,Bombay Sapphire Gin,6,1750,26.5,39.75
1042100,IMPORTED DRY GINS,35,28238,Bombay Sapphire Gin,6,1750,26.22,39.33
1042100,IMPORTED DRY GINS,35,28236,Bombay Sapphire Gin,12,750,13.5,20.25
1042100,IMPORTED DRY GINS,35,28236,Bombay Sapphire Gin,12,750,11.64,18.46
1042100,IMPORTED DRY GINS,35,28206,Bombay Dry Gin,12,750,10.5,15.75
1042100,IMPORTED DRY GINS,35,28236,Bombay Sapphire Gin,12,750,13.64,20.46
1042100,IMPORTED DRY GINS,35,28236,Bombay Sapphire Gin,12,750,12.0,18.75
1042100,IMPORTED DRY GINS,35,28210,Bombay Sapphire East,12,750,11.64,18.46
1042100,IMPORTED DRY GINS,35,28206,Bombay Dry Gin,12,750,9.75,15.0
1042100,IMPORTED DRY GINS,35,28210,Bombay Sapphire East,12,750,13.5,20.25
1042100,IMPORTED DRY GINS,35,28233,Bombay Sapphire Gin,12,1000,17.61,26.42
1042100,IMPORTED DRY GINS,35,28210,Bombay Sapphire East,12,750,12.0,18.75
1042100,IMPORTED DRY GINS,35,902282,Bombay Sapphire Gin Minis,10,600,16.0,24.0
1042100,IMPORTED DRY GINS,35,28210,Bombay Sapphire East,12,750,13.64,20.46
1071100,AMERICAN COCKTAILS,35,57092,Bacardi Classic Cocktails Strawberry Daiquiri,6,1750,10.0,15.0
1071100,AMERICAN COCKTAILS,35,56843,Bacardi Party Drinks Zombie,6,1750,6.98,10.47
1071100,AMERICAN COCKTAILS,35,56846,Bacardi Party Drinks Rum Island Iced Tea,6,1750,6.98,10.47
1071100,AMERICAN COCKTAILS,35,56850,Bacardi Party Drinks Bahama Mama,6,1750,6.98,10.47
1071100,AMERICAN COCKTAILS,35,56840,Bacardi Party Drinks Hurricane,6,1750,6.98,10.47
1071100,AMERICAN COCKTAILS,35,56828,Bacardi Classic Cocktails Mojito,6,1750,10.0,15.0
1071100,AMERICAN COCKTAILS,35,57092,Bacardi Classic Cocktails Strawberry Daiquiri,6,1750,7.0,12.0
1071100,AMERICAN COCKTAILS,35,56846,Bacardi Party Drinks Rum Island Iced Tea,6,1750,6.23,9.72
1071100,AMERICAN COCKTAILS,35,904449,Bacardi Rum Runner,6,1750,6.98,10.47
1071100,AMERICAN COCKTAILS,35,56840,Bacardi Party Drinks Hurricane,6,1750,6.23,9.72
1071100,AMERICAN COCKTAILS,35,56850,Bacardi Party Drinks Bahama Mama,6,1750,6.23,9.72
1071100,AMERICAN COCKTAILS,35,56828,Bacardi Classic Cocktails Mojito,6,1750,8.5,13.5
1071100,AMERICAN COCKTAILS,35,56843,Bacardi Party Drinks Zombie,6,1750,6.23,9.72
1071100,AMERICAN COCKTAILS,35,57092,Bacardi Classic Cocktails Strawberry Daiquiri,6,1750,8.5,13.5
1071100,AMERICAN COCKTAILS,35,56828,Bacardi Classic Cocktails Mojito,6,1750,7.0,12.0
1011300,TENNESSEE WHISKIES,35,86642,Bonnie Rose Spiced Apple,12,750,11.5,17.25
1011300,TENNESSEE WHISKIES,35,86645,Bonnie Rose Orange Peel,12,750,11.5,17.25
1011300,TENNESSEE WHISKIES,35,86641,Bonnie Rose Spiced Apple Mini,10,600,8.4,8.4
1011300,TENNESSEE WHISKIES,35,86644,Bonnie Rose Orange Peel Mini,10,600,8.4,8.4
1011300,TENNESSEE WHISKIES,35,86641,Bonnie Rose Spiced Apple Mini,10,600,5.6,8.4
1032200,IMPORTED VODKA - MISC,35,34436,Grey Goose Vodka L'orange,6,750,18.49,27.74
1032200,IMPORTED VODKA - MISC,35,34267,Grey Goose Le Citron,6,750,18.49,27.74
1032200,IMPORTED VODKA - MISC,35,35934,Grey Goose Cherry Noir,6,750,18.49,27.74
1032200,IMPORTED VODKA - MISC,35,33672,Grey Goose Le Melon,6,750,18.49,27.74
1032200,IMPORTED VODKA - MISC,35,34605,Grey Goose La Poire Vodka,6,750,18.49,27.74
1052010,IMPORTED GRAPE BRANDIES,35,47865,D'usse VSOP,6,750,32.0,48.0
1052010,IMPORTED GRAPE BRANDIES,35,47863,D'usse VSOP,12,375,16.34,24.51
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43127,Bacardi Superior Rum,12,1000,9.5,14.25
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43123,Bacardi Superior Rum,48,200,2.5,3.75
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43048,Bacardi Select Rum,6,1750,15.0,22.5
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43387,Castillo Silver Rum,12,1000,4.89,7.34
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43128,Bacardi Superior Rum,6,1750,15.0,22.5
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43124,Bacardi Superior Rum,24,375,4.5,6.75
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43120,Bacardi Superior PET,6,1750,15.0,22.5
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43121,Bacardi Superior Rum Mini,12,500,5.54,8.31
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43038,Bacardi Gold Rum,6,1750,15.0,22.5
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43126,Bacardi Superior Rum,12,750,7.25,11.25
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43125,Bacardi Superior Rum Pet,12,750,8.26,12.39
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43126,Bacardi Superior Rum,12,750,8.26,12.39
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43126,Bacardi Superior Rum,12,750,8.0,12.0
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43036,Bacardi Gold Rum,12,750,8.26,12.39
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43037,Bacardi Gold Rum,12,1000,9.5,14.25
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43040,Bacardi Gold Rum PET,6,1750,15.0,22.5
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43388,Castillo Silver Rum,6,1750,8.33,12.5
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43031,Bacardi Gold Rum Mini,12,500,5.54,8.31
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43127,Bacardi Superior Rum,12,1000,8.75,13.5
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43366,Castillo Spiced Rum,12,750,4.16,6.24
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43120,Bacardi Superior PET,6,1750,13.5,21.0
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43034,Bacardi Gold Rum,24,375,4.5,6.75
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43386,Castillo Silver Rum,12,750,4.16,6.24
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43156,Bacardi 151 Prf,12,750,13.5,20.25
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43125,Bacardi Superior Rum Pet,12,750,7.25,11.25
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43046,Bacardi Select Rum,12,750,8.0,12.0
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43156,Bacardi 151 Proof Rum,12,750,13.5,20.25
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43035,Bacardi Gold Rum Pet,12,750,8.26,12.39
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43036,Bacardi Gold Rum,12,750,7.25,11.25
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43034,Bacardi Gold Rum,24,375,4.31,6.47
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43174,Bacardi Gran Reserva Maestro,12,750,12.5,18.75
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43125,Bacardi Superior Rum Pet,12,750,8.0,12.0
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43036,Bacardi Gold Rum,12,750,8.0,12.0
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43109,Bacardi Black,12,750,8.0,12.0
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43035,Bacardi Gold Rum Pet,12,750,7.25,11.25
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,42370,Bacardi 8 Rum,12,750,12.5,18.75
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43046,Bacardi Select Rum,12,750,7.25,11.25
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43035,Bacardi Gold Rum Pet,12,750,8.0,12.0
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,42370,Bacardi 8 Rum,12,750,11.5,17.25
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,903796,Bacardi Anejo Mex Rum,12,750,7.75,11.63
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43128,Bacardi Superior Rum,6,1750,13.5,21.0
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43038,Bacardi Gold Rum,6,1750,13.5,21.0
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43040,Bacardi Gold Rum PET,6,1750,13.5,21.0
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43048,Bacardi Select Rum,6,1750,13.5,21.0
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,42370,Bacardi 8 Rum,12,750,9.5,15.75
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43037,Bacardi Gold Rum,12,1000,8.75,13.5
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,43112,Bacardi Black,6,1750,15.0,22.5
1082900,MISC. IMPORTED CORDIALS & LIQUEURS,35,66836,St. Germain,6,750,20.0,30.0
1082900,MISC. IMPORTED CORDIALS & LIQUEURS,35,66834,St Germain,12,200,8.5,12.75
1082900,MISC. IMPORTED CORDIALS & LIQUEURS,35,64336,B&b D.o.m.,12,750,19.5,29.25
1082900,MISC. IMPORTED CORDIALS & LIQUEURS,35,66836,St. Germain,6,750,19.5,29.25
1082900,MISC. IMPORTED CORDIALS & LIQUEURS,35,47863,D'usse VSOP,12,375,16.34,24.51
1082900,MISC. IMPORTED CORDIALS & LIQUEURS,35,47865,D'usse VSOP,6,750,32.0,48.0
1012210,SINGLE MALT SCOTCH,35,914000,Aberfeldy 12 Year Single Malt Scotch,6,750,27.5,41.25
1701100,DECANTERS & SPECIALTY PACKAGES,35,4079,Drambuie w/Pitcher,6,750,20.0,30.0
1062300,FLAVORED RUM,35,43055,Bacardi Dragon Berry PET,12,750,8.0,12.0
1042100,IMPORTED DRY GINS,35,928223,Bombay Sapphire Gin,12,200,4.0,6.0
1082900,MISC. IMPORTED CORDIALS & LIQUEURS,35,902243,Benedictine Liqueur Dom,12,750,19.5,29.25
1022100,TEQUILA,35,904000,Cazadores Blanco,12,750,16.81,25.22
1062310,SPICED RUM,35,43204,Bacardi Oakheart PET,12,750,7.0,10.5
1062300,FLAVORED RUM,35,43135,Bacardi Pineapple Fusion PET,12,750,8.0,12.0
1011300,TENNESSEE WHISKIES,35,86644,Bonnie Rose Orange Peel Mini,10,600,5.6,8.4
1062300,FLAVORED RUM,35,904512,Bacardi Grand Melon Rum,12,1000,9.5,14.25
1062300,FLAVORED RUM,35,943367,Castillo Spiced Rum,12,1000,4.89,7.34
1042100,IMPORTED DRY GINS,35,902979,Bombay Sapphire Gin,12,375,5.41,8.12
1042100,IMPORTED DRY GINS,35,927957,Oxley Dry Gin,6,1000,25.0,37.5
1022100,TEQUILA,35,904808,Cazadores Reposado,6,1750,29.37,44.06
1062300,FLAVORED RUM,35,943131,Bacardi Limon Mini,12,500,5.47,8.21
1042100,IMPORTED DRY GINS,35,903819,Bombay Gin,6,1750,21.5,32.25
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,903331,Bacardi 1873 Solera,12,750,9.06,13.59
1082900,MISC. IMPORTED CORDIALS & LIQUEURS,35,904642,Nassau Royale,12,1000,9.35,14.03
1012300,IRISH WHISKIES,35,900194,Aberfeldy 16YR w/2 Glasses & Ice Mold,3,750,45.66,68.49
1012210,SINGLE MALT SCOTCH,35,904088,Aberfeldy 21 Year Single Malt Scotch,4,750,88.84,133.26
1062300,FLAVORED RUM,35,904872,Bacardi Big Apple Rum,12,1000,9.5,14.25
1042100,IMPORTED DRY GINS,35,902282,Bombay Sapphire Gin Minis,10,50,16.0,24.0
1022100,TEQUILA,35,902667,Corzo Reposado Tequila,6,750,25.97,38.96
1062300,FLAVORED RUM,35,904872,Bacardi Big Apple Rum,12,1000,10.5,15.75
1062300,FLAVORED RUM,35,904512,Bacardi Grand Melon Rum,12,1000,10.24,15.36
1062300,FLAVORED RUM,35,943131,Bacardi Limon,12,50,5.47,8.21
1022100,TEQUILA,35,902877,Corzo Silver Tequila,6,750,25.97,38.96
1062400,,35,943208,Bacardi Oakheart,6,1750,14.0,21.0
1081380,MISCELLANEOUS SCHNAPPS,55,81124,99 Peppermint Mini,10,600,5.94,8.91
1081380,MISCELLANEOUS SCHNAPPS,55,84172,99 Bananas Mini,10,600,5.94,8.91
1081400,TRIPLE SEC,55,86390,Montezuma Triple Sec,12,1000,2.13,3.2
1081700,DISTILLED SPIRITS SPECIALTY,55,76227,Montezuma Blue,12,1000,4.66,6.99
1081700,DISTILLED SPIRITS SPECIALTY,55,76227,Montezuma Blue,12,1000,4.5,6.75
1081380,MISCELLANEOUS SCHNAPPS,55,84143,99 Cinnamon Mini,10,600,5.94,8.91
1081380,MISCELLANEOUS SCHNAPPS,55,84171,99 Bananas,48,100,0.89,1.34
1051110,BLACKBERRY BRANDIES,55,55068,Mr. Boston Blackberry Brandy,6,1750,10.0,15.0
1701100,DECANTERS & SPECIALTY PACKAGES,55,62920,Mr. Boston Holiday Nog,12,750,3.64,5.46
1081010,AMERICAN AMARETTO,55,73981,Amaretto di Amore Mini,10,600,5.95,8.93
1051100,APRICOT BRANDIES,55,54436,Mr. Boston Apricot Brandy,12,750,4.13,6.38
1701100,DECANTERS & SPECIALTY PACKAGES,55,2618,99 Family 4-50mls,15,200,2.08,3.12
1051110,BLACKBERRY BRANDIES,55,55066,Mr. Boston Blackberry Brandy,12,750,4.5,6.75
1081380,MISCELLANEOUS SCHNAPPS,55,84166,99 Blackberries,12,750,7.8,11.7
1051100,APRICOT BRANDIES,55,54436,Mr. Boston Apricot Brandy,12,750,4.5,6.75
1081305,APPLE SCHNAPPS,55,84159,99 Apples,12,750,7.8,11.7
1081380,MISCELLANEOUS SCHNAPPS,55,84170,99 Bananas,12,750,7.8,11.7
1081010,AMERICAN AMARETTO,55,73986,Di Amore Amaretto,12,750,6.0,9.0
1051110,BLACKBERRY BRANDIES,55,55066,Mr. Boston Blackberry Brandy,12,750,4.13,6.38
1081500,ROCK & RYE,55,85796,Mr. Boston Rock & Rye,12,750,4.93,7.4
1081700,DISTILLED SPIRITS SPECIALTY,55,973624,Di Amore Quattro Orange,12,750,7.34,11.01
1081010,AMERICAN AMARETTO,55,977136,Di Amore Raspberry,12,750,6.5,9.75
1081380,MISCELLANEOUS SCHNAPPS,55,81126,99 Peppermint,12,750,7.8,11.7
1701100,DECANTERS & SPECIALTY PACKAGES,55,2249,Amaretto Di Amore w/2 Snifters,12,750,6.0,9.0
1701100,DECANTERS & SPECIALTY PACKAGES,55,4055,Caravella Limoncello w/Glass,6,750,11.25,16.88
1081380,MISCELLANEOUS SCHNAPPS,55,3285,99 Whipped Cream Mini,2,3000,29.7,44.55
1081010,AMERICAN AMARETTO,55,903424,Mr Boston Amaretto,12,1000,4.0,6.0
1081700,DISTILLED SPIRITS SPECIALTY,55,973627,Di Amore Quattro Orange,12,1000,9.75,14.63
1081380,MISCELLANEOUS SCHNAPPS,55,84399,99 Whipped Cream,12,750,7.8,11.7
1081380,MISCELLANEOUS SCHNAPPS,55,84153,99 Cinnamon,12,750,7.8,11.7
1022100,TEQUILA,55,89577,Montezuma Gold Tequila,12,1000,7.02,10.53
1022100,TEQUILA,55,88147,Montezuma White Tequila,12,1000,7.02,10.53
1022100,TEQUILA,55,89566,Monte Alban Mezcal,12,750,13.26,19.89
1031080,VODKA 80 PROOF,55,35318,Barton Vodka,6,1750,6.92,10.38
1031080,VODKA 80 PROOF,55,35944,Fleischmann's Royal Vodka,24,375,1.74,2.61
1031080,VODKA 80 PROOF,55,37934,Skol Vodka,24,375,1.74,2.61
1031080,VODKA 80 PROOF,55,35317,Barton Vodka,12,1000,3.97,5.96
1031080,VODKA 80 PROOF,55,37937,Skol Vodka,12,1000,4.42,6.63
1031080,VODKA 80 PROOF,55,37938,Skol Vodka,6,1750,7.11,10.67
1031080,VODKA 80 PROOF,55,35947,Fleischmann's Royal Vodka,12,1000,4.0,6.0
1031080,VODKA 80 PROOF,55,35948,Fleischmann's Royal Vodka 80 Prf,6,1750,7.18,10.77
1031080,VODKA 80 PROOF,55,35314,Barton Vodka,24,375,1.71,2.57
1031080,VODKA 80 PROOF,55,35313,Barton Vodka,48,200,1.13,1.7
1031080,VODKA 80 PROOF,55,35946,Fleischmann's Royal Vodka,12,750,3.31,4.97
1031080,VODKA 80 PROOF,55,35948,Fleischmann's Royal Vodka 80 Prf,6,1750,6.68,10.27
1031080,VODKA 80 PROOF,55,35776,Barton Vodka Mini,10,600,3.92,5.88
1031080,VODKA 80 PROOF,55,37936,Skol Vodka,12,750,3.64,5.46
1031080,VODKA 80 PROOF,55,37097,Mr. Boston Riva Vodka,12,1000,3.97,5.96
1031080,VODKA 80 PROOF,55,35316,Barton Vodka,12,750,3.37,5.06
1031080,VODKA 80 PROOF,55,35315,Barton Vodka Pet,12,750,3.37,5.06
1031080,VODKA 80 PROOF,55,37935,Skol Vodka Traveler,12,750,3.64,5.46
1031080,VODKA 80 PROOF,55,37097,Mr. Boston Riva,12,1000,3.97,5.96
1031200,VODKA FLAVORED,55,940857,Naked Jay Big Dill Vodka,12,750,7.8,11.7
1031100,100 PROOF VODKA,55,37938,Skol Vodka,6,1750,7.11,10.67
1031100,100 PROOF VODKA,55,35313,Barton Vodka,48,200,1.13,1.7
1012200,SCOTCH WHISKIES,55,8828,Lauder's,6,1750,11.18,16.77
1012200,SCOTCH WHISKIES,55,8828,Lauder's,6,1750,10.68,16.27
1012200,SCOTCH WHISKIES,55,8824,Lauder's,24,375,3.21,4.82
1012200,SCOTCH WHISKIES,55,8827,Lauder's,12,1000,6.14,9.21
1012200,SCOTCH WHISKIES,55,8825,Lauder's Scotch Traveler,12,750,4.63,7.2
1012200,SCOTCH WHISKIES,55,8826,Lauder's Scotch,12,750,5.13,7.7
1012200,SCOTCH WHISKIES,55,8826,Lauder's Scotch,12,750,4.63,7.2
1012200,SCOTCH WHISKIES,55,8825,Lauder's Scotch Traveler,12,750,5.13,7.7
1012200,SCOTCH WHISKIES,55,8208,House Of Stuart,6,1750,10.52,15.78
1012200,SCOTCH WHISKIES,55,903184,Inver House Scotch,12,1000,6.73,10.1
1011100,BLENDED WHISKIES,55,23708,Fleischmann's Preferred Bl Whiskey,6,1750,7.33,11.0
1041100,AMERICAN DRY GINS,55,29287,Barton Gin,12,1000,3.92,5.88
1041100,AMERICAN DRY GINS,55,30058,Fleischmann's Gin,6,1750,9.36,14.04
1041100,AMERICAN DRY GINS,55,29288,Barton Gin,6,1750,6.92,10.38
1041100,AMERICAN DRY GINS,55,30057,Fleischmann's Dry Gin,12,1000,4.0,6.0
1041100,AMERICAN DRY GINS,55,30056,Fleischmann's Gin,12,750,3.32,4.98
1041100,AMERICAN DRY GINS,55,30056,Fleischmann's Gin,12,750,2.82,4.48
1041100,AMERICAN DRY GINS,55,30058,Fleischmann's Gin,6,1750,8.86,13.54
1041100,AMERICAN DRY GINS,55,29282,Barton Gin,48,100,0.89,1.34
1012100,CANADIAN WHISKIES,55,12404,Canadian Ltd Whisky,24,375,2.05,3.08
1012100,CANADIAN WHISKIES,55,12408,Canadian Ltd Whisky,6,1750,9.14,13.71
1012100,CANADIAN WHISKIES,55,12408,Canadian Ltd Whisky,6,1750,7.94,12.51
1012100,CANADIAN WHISKIES,55,12407,Canadian Ltd Whisky,12,1000,5.5,8.25
1012100,CANADIAN WHISKIES,55,12409,Canadian LTD,48,100,0.89,1.34
1012100,CANADIAN WHISKIES,55,11936,Canadian Ltd Whisky Convenience Pack,12,750,4.34,6.51
1012100,CANADIAN WHISKIES,55,12406,Canadian Ltd Whisky,12,750,3.84,6.01
1012100,CANADIAN WHISKIES,55,12406,Canadian Ltd Whisky,12,750,4.34,6.51
1012100,CANADIAN WHISKIES,55,11936,Canadian Ltd Whisky Convenience Pack,12,750,3.84,6.01
1012100,CANADIAN WHISKIES,55,13388,Northern Light,6,1750,8.72,13.08
1012100,CANADIAN WHISKIES,55,12409,Canadian Ltd,48,100,0.89,1.34
1042100,IMPORTED DRY GINS,55,31627,Mr. Boston Riva Gin,12,1000,3.92,5.88
1071100,AMERICAN COCKTAILS,55,57148,Chi-Chi's Margarita W/tequila,6,1750,6.0,9.25
1071100,AMERICAN COCKTAILS,55,57148,Chi-Chi's Margarita W/tequila,6,1750,6.5,9.75
1071100,AMERICAN COCKTAILS,55,57158,Chi-Chi's Strawberry Margarita W/tequila,6,1750,6.5,9.75
1071100,AMERICAN COCKTAILS,55,57144,Chi-Chi's White Russian,6,1750,6.0,9.25
1071100,AMERICAN COCKTAILS,55,57125,Chi-Chi's Gold Margarita,6,1750,6.0,9.25
1071100,AMERICAN COCKTAILS,55,57178,Chi-Chi's Ruby Red Margarita,24,200,1.5,2.25
1071100,AMERICAN COCKTAILS,55,57051,Barton Long Island Iced Tea,12,1000,4.1,6.15
1071100,AMERICAN COCKTAILS,55,57158,Chi-Chi's Strawberry Margarita W/tequila,6,1750,6.0,9.25
1071100,AMERICAN COCKTAILS,55,57144,Chi-Chi's White Russian,6,1750,6.5,9.75
1071100,AMERICAN COCKTAILS,55,57157,Chi-Chi's Pina Colada W/rum,6,1750,6.0,9.25
1071100,AMERICAN COCKTAILS,55,57129,Chi-Chi's Mexican Mudslide,6,1750,6.0,9.25
1071100,AMERICAN COCKTAILS,55,57125,Chi-Chi's Gold Margarita,6,1750,6.5,9.75
1071100,AMERICAN COCKTAILS,55,57157,Chi-Chi's Pina Colada W/rum,6,1750,6.5,9.75
1071100,AMERICAN COCKTAILS,55,57161,Chi-Chi's Churro,6,1750,6.0,9.25
1071100,AMERICAN COCKTAILS,55,57168,Chi-Chi's Chocolate Malt,6,1750,6.0,9.25
1071100,AMERICAN COCKTAILS,55,57174,Chi-Chi's Skinny Margarita,6,1750,6.0,9.25
1071100,AMERICAN COCKTAILS,55,57129,Chi-Chi's Mexican Mudslide,6,1750,6.5,9.75
1071100,AMERICAN COCKTAILS,55,57168,Chi-Chi's Chocolate Malt,6,1750,6.5,9.75
1071100,AMERICAN COCKTAILS,55,57120,Chi-Chi's Long Island Iced Tea,6,1750,6.5,9.75
1071100,AMERICAN COCKTAILS,55,57174,Chi-Chi's Skinny Margarita,6,1750,6.5,9.75
1071100,AMERICAN COCKTAILS,55,57120,Chi-Chi's Long Island Iced Tea,6,1750,6.0,9.25
1071100,AMERICAN COCKTAILS,55,57179,Chi-Chi's Ruby Red Margarita,6,1750,6.0,9.25
1071100,AMERICAN COCKTAILS,55,57161,Chi-Chi's Churro,6,1750,6.5,9.75
1071100,AMERICAN COCKTAILS,55,57181,Chi-Chi's Pineapple Margarita,6,1750,6.5,9.75
1071100,AMERICAN COCKTAILS,55,57181,Chi-Chi's Pineapple Margarita,6,1750,6.0,9.25
1071100,AMERICAN COCKTAILS,55,57179,Chi-Chi's Ruby Red Margarita,6,1750,6.5,9.75
1071100,AMERICAN COCKTAILS,55,80058,Chi-Chi's Orange Cream,6,1750,6.0,9.25
1071100,AMERICAN COCKTAILS,55,80058,Chi-Chi's Orange Cream,6,1750,6.5,9.75
1071100,AMERICAN COCKTAILS,55,57176,Chi-Chi's Skinny Long Island Iced Tea,6,1750,6.0,9.25
1071100,AMERICAN COCKTAILS,55,57176,Chi-Chi's Skinny Long Island Iced Tea,6,1750,6.5,9.75
1081300,PEPPERMINT SCHNAPPS,55,981177,Mr.boston Peppermint Schnapps,12,1000,3.0,4.5
1011200,STRAIGHT BOURBON WHISKIES,55,21597,Ten High,12,1000,4.94,7.41
1011200,STRAIGHT BOURBON WHISKIES,55,21594,Ten High,24,375,2.96,4.44
1011200,STRAIGHT BOURBON WHISKIES,55,21236,Ridgemont Reserve 1792,6,750,16.12,24.18
1011200,STRAIGHT BOURBON WHISKIES,55,21598,Ten High,6,1750,9.24,13.86
1011200,STRAIGHT BOURBON WHISKIES,55,21598,Ten High,6,1750,8.74,13.36
1011200,STRAIGHT BOURBON WHISKIES,55,21595,Ten High Traveler,12,750,4.1,6.15
1011200,STRAIGHT BOURBON WHISKIES,55,21596,Ten High,12,750,4.1,6.15
1011200,STRAIGHT BOURBON WHISKIES,55,20536,Kentucky Tavern,12,750,4.25,6.38
1011200,STRAIGHT BOURBON WHISKIES,55,921796,Very Old Barton 4yr,12,750,6.5,9.75
1011200,STRAIGHT BOURBON WHISKIES,55,921232,1792 Port Finish Bourbon HA,6,750,21.0,31.5
1011200,STRAIGHT BOURBON WHISKIES,55,921242,1792 Sweet Wheat HA,6,750,18.5,27.75
1011200,STRAIGHT BOURBON WHISKIES,55,921244,1792 Single Barrel HA,6,750,21.0,31.5
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,55,44217,Barton Rum Light,12,1000,4.0,6.0
1062200,PUERTO RICO & VIRGIN ISLANDS RUM,55,44215,Barton Light Rum,48,100,0.89,1.34
1082900,MISC. IMPORTED CORDIALS & LIQUEURS,55,64601,Caravella Limoncello,6,750,11.25,16.88
1082900,MISC. IMPORTED CORDIALS & LIQUEURS,55,64599,Caravella Limoncello Mini,10,600,5.95,8.93
1082900,MISC. IMPORTED CORDIALS & LIQUEURS,55,904815,Caravella Orangecello,6,750,10.54,15.81
1071100,AMERICAN COCKTAILS,55,57180,Chi-Chi's Pineapple Margarita,24,200,1.5,2.25
1051010,AMERICAN GRAPE BRANDIES,55,903486,Mr Boston Five Star Brandy,6,1750,9.56,14.34
